jiant_name,taskname,format,year
adversarial_nli_r1,adversarial_nli_r1,classification,2020
adversarial_nli_r2,adversarial_nli_r2,classification,2020
adversarial_nli_r3,adversarial_nli_r3,classification,2020
mnli,mnli,classification,2020
mnli3,mnli3,classification,2020
mnli4,mnli4,classification,2020
mnli5,mnli5,classification,2020
mnli_mismatched,mnli_mismatched,classification,2020
mnli_mismatched3,mnli_mismatched3,classification,2020
mnli_mismatched4,mnli_mismatched4,classification,2020
mnli_mismatched5,mnli_mismatched5,classification,2020
snli,snli,classification,2020
snli3,snli3,classification,2020
snli4,snli4,classification,2020
snli5,snli5,classification,2020
ni-base,ni-base,classification,2020
ni-contrast,ni-contrast,classification,2020
ni-edit-other,ni-edit-other,classification,2020
ni-edit-premise,ni-edit-premise,classification,2020
ni-paragraph,ni-paragraph,classification,2020
san-base-news,san-base-news,classification,2020
san-base-wiki,san-base-wiki,classification,2020
san-sim-news,san-sim-news,classification,2020
san-sim-wiki,san-sim-wiki,classification,2020
san-translate-wiki,san-translate-wiki,classification,2020
